date,btc_price,btc_mcap,alt_mcap,total_mcap,btc_dominance,alt_share,eth_btc,n_alts
2019-04-27,5181.80776364699,91557451148.37279,69457985521.27605,161015436669.64883,0.5686253010400414,0.4313746989599586,0.03005258793691461,10
2019-04-28,5148.66961542957,90982423047.7571,68286259614.51504,159268682662.27213,0.5712511808783183,0.4287488191216817,0.02976532941755163,10
2019-04-29,5148.80049327878,90995226478.38272,67297476200.93478,158292702679.3175,0.5748542095634592,0.42514579043654077,0.02962732950440298,10
2019-04-30,5266.61820251315,93086646312.97389,71695064051.68045,164781710364.65436,0.5649088488460122,0.4350911511539878,0.030368349348888397,10
2019-05-01,5315.17532904734,93956247055.4643,70939984621.64351,164896231677.1078,0.5697901407440595,0.43020985925594046,0.029768135562051143,10
2019-05-02,5393.12937638808,95346643375.08405,70501480141.77942,165848123516.86346,0.5749033594907643,0.4250966405092357,0.029517485750983927,10
2019-05-03,5658.43038836938,100047725220.71832,72750839685.84439,172798564906.5627,0.5789846997561414,0.4210153002438586,0.02910620804195687,10
2019-05-04,5774.71242869667,102113257161.60286,71878009719.15045,173991266880.7533,0.586887255850532,0.41311274414946797,0.0280597982586631,10
2019-05-05,5728.35170222092,101302705291.91556,71303192808.43811,172605898100.35367,0.5869017594811147,0.41309824051888533,0.02819058689644073,10
2019-05-06,5691.68837405026,100665077841.2352,72684896966.69968,173349974807.93488,0.5807043119144853,0.41929568808551465,0.03023155954892543,10
2019-05-07,5825.744893045,103045294021.27489,71589057271.13156,174634351292.40643,0.5900631419802204,0.40993685801977964,0.02918942005993644,10
2019-05-08,5931.8005949737,104932468929.86987,71505681630.16322,176438150560.03308,0.5947266427175941,0.4052733572824059,0.028584703996400906,10
2019-05-09,6150.14044476914,108806392500.68918,70746937058.44444,179553329559.1336,0.6059837083937515,0.3940162916062485,0.02768234583537543,10
2019-05-10,6357.46349357101,112484221628.55664,72094625685.2652,184578847313.82184,0.6094101424163215,0.3905898575836785,0.027089706791020105,10
2019-05-11,7325.08286031561,129616460917.03905,83364113717.2368,212980574634.27585,0.6085834876707077,0.3914165123292923,0.027249727867828203,10
2019-05-12,6942.62317451783,122862594419.89809,77667430490.78604,200530024910.68414,0.6126892692235039,0.38731073077649614,0.026961581960481824,10
2019-05-13,7798.90573600234,138032382814.8289,81148066311.97313,219180449126.802,0.6297659456613911,0.3702340543386089,0.02510931786155714,10
2019-05-14,7955.5576823495,140820072137.7831,94147313892.43742,234967386030.22052,0.5993175245166639,0.40068247548333613,0.027429228016703163,10
2019-05-15,8215.2068383986,145431381731.40323,107429309775.70065,252860691507.10388,0.5751442854348022,0.4248557145651978,0.030317122372421342,10
2019-05-16,7862.07160233782,139194281165.00555,103357567449.66713,242551848614.67267,0.5738743363945044,0.42612566360549564,0.03350013628908604,10
2019-05-17,7326.92068188194,129733515296.03603,96132941782.00735,225866457078.0434,0.5743815038955047,0.4256184961044953,0.03306488553738183,10
2019-05-18,7277.98756341321,128881004230.6199,93603092761.50977,222484096992.12967,0.5792818721563683,0.4207181278436317,0.032267337311975536,10
2019-05-19,8219.74278696669,145574664069.0613,104897518076.02853,250472182145.08984,0.5812009254773648,0.4187990745226352,0.03187131910143682,10
