date,open,high,low,close,volume_btc,sma20,sma50,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_pctb,bb_width,obv
2022-10-30,19576.0,21078.0,19169.0,20628.0,12061.971709,20753.193,32946.8938,23795.04115,20625.327006,24297.619323,39.062562,-3672.292317,-4360.80689,688.514573,20753.193,23865.354971,17641.031029,0.479886,0.299921,4463588.933033
2022-11-06,20631.0,21473.0,20039.0,20907.0,11280.476739,20770.902,32191.4644,23879.3726,20668.661313,24046.462336,39.990039,-3377.801023,-4164.205716,786.404693,20770.902,23882.332402,17659.471598,0.521871,0.299595,4474869.409772
2022-11-13,20899.0,21070.0,15632.0,16310.0,40402.651508,20534.9675,31370.8934,23943.34285,19998.098034,23473.391052,31.486524,-3475.293018,-4026.423177,551.130159,20534.9675,24198.97858,16870.95642,-0.076549,0.356856,4434466.758264
2022-11-20,16300.0,17130.0,15784.0,16256.0,25969.940314,20383.0445,30706.749,24006.93925,19422.390644,22938.769493,31.402053,-3516.378848,-3924.414311,408.035463,20383.0445,24467.991942,16298.097058,-0.005153,0.400818,4408496.81795
2022-11-27,16250.0,16783.0,15479.0,16424.0,19735.691051,20161.4405,30032.7414,24071.3931,18961.099776,22456.193975,32.013148,-3495.094199,-3838.550289,343.45609,20161.4405,24586.416933,15736.464067,0.077688,0.438954,4428232.509
2022-12-04,16420.0,17250.0,16004.0,17114.0,18324.887873,19977.048,29440.928,24139.889,18676.93058,22060.475902,34.59044,-3383.545323,-3747.549295,364.003973,19977.048,24583.539931,15370.556069,0.189238,0.461178,4446557.396874
2022-12-11,17113.0,17418.0,16734.0,17091.0,9608.782822,19701.8075,28766.9238,24207.09215,18432.94126,21692.366576,34.543433,-3259.425317,-3649.9245,390.499183,19701.8075,24307.348761,15096.266239,0.216558,0.467525,4436948.614051
2022-12-18,17089.0,18373.0,16572.0,16749.0,15922.488326,19373.131,28154.8994,24272.70915,18173.873374,21326.191274,33.807717,-3152.317901,-3550.40318,398.085279,19373.131,23834.160644,14912.101356,0.205883,0.460538,4421026.125725
2022-12-25,16744.0,17046.0,16293.0,16828.0,11655.231876,19055.15,27653.9432,24338.19575,17966.815931,20992.991921,34.15657,-3026.175989,-3445.557742,419.381753,19055.15,23283.83903,14826.46097,0.236662,0.443837,4432681.357602
2023-01-01,16828.0,16961.0,16337.0,16615.0,10017.700023,18669.9,27124.0892,24402.32315,17758.84425,20668.696223,33.641755,-2909.851973,-3338.416588,428.564615,18669.9,22266.464744,15073.335256,0.214325,0.385279,4422663.657578
