date,open,high,low,close,volume_btc,sma20,sma50,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_pctb,bb_width,obv
2015-03-31,253.45,297.95,236.4,244.24,298015.099718,451.9785,196.258492,,354.383279,335.021922,45.825624,19.361357,70.871664,-51.510307,451.9785,940.16992,-36.21292,0.287237,2.160242,-1053326.572543
2015-04-30,243.93,262.98,210.0,236.2,256103.509461,457.3885,200.965287,,336.201236,327.701779,45.474971,8.499456,58.397223,-49.897766,457.3885,933.343801,-18.566801,0.267637,2.081186,-1309430.082004
2015-05-31,236.47,247.01,227.01,228.91,199647.337495,462.5215,205.527795,,319.694892,320.38387,45.137711,-0.688978,46.579983,-47.268961,462.5215,926.135565,-1.092565,0.248054,2.004724,-1509077.419499
2015-06-30,228.91,268.0,219.03,262.5,232996.345202,465.4695,210.707795,,310.895678,316.096176,47.085034,-5.200498,36.223886,-41.424384,465.4695,923.171013,7.767987,0.278273,1.966623,-1276081.074297
2015-07-31,262.58,317.99,252.4,284.33,396862.765382,423.71,216.219963,,306.80865,313.743126,48.367702,-6.934475,27.592214,-34.526689,423.71,775.16575,72.25425,0.30171,1.658945,-879218.308915
2015-08-31,284.69,285.88,198.12,229.86,418868.939371,398.603,220.493458,,294.970396,307.529561,45.409866,-12.559164,19.561938,-32.121103,398.603,729.520993,67.685007,0.245038,1.660389,-1298087.248286
2015-09-30,230.25,246.24,223.0,236.2,569532.576454,370.263,224.95,,285.928797,302.24589,45.825138,-16.317093,12.386132,-28.703225,370.263,651.086175,89.439825,0.261304,1.516885,-728554.671832
2015-10-31,235.87,334.67,235.0,310.18,716414.503245,358.1775,230.9936,,289.659751,302.833602,50.552043,-13.17385,7.274136,-20.447986,358.1775,627.253211,89.101789,0.41081,1.502471,-12140.168587
2015-11-30,310.9,502.0,294.0,376.71,887623.846327,354.2715,238.4314,,303.052097,308.305927,54.404919,-5.25383,4.768543,-10.022373,354.2715,619.867171,88.675829,0.542242,1.499391,875483.67774
2015-12-31,376.7,467.8,348.64,430.89,418827.195564,353.3735,246.9832,,322.719467,317.386229,57.321361,5.333238,4.881482,0.451756,353.3735,617.802877,88.944123,0.646573,1.4966,1294310.873304
2016-01-31,430.89,465.0,352.0,368.49,289462.536061,340.408,254.2892,,329.761087,321.171694,53.108028,8.589394,5.623064,2.96633,340.408,573.290373,107.525627,0.560292,1.368254,1004848.337243
2016-02-29,368.49,447.99,365.0,435.23,216410.798748,330.114,262.9022,,345.987074,329.620457,56.76818,16.366617,7.771775,8.594842,330.114,523.825739,136.402261,0.771321,1.173605,1221259.135991
2016-03-31,436.75,437.5,382.0,414.66,156279.189386,321.745,271.0894,,356.552139,335.919682,55.334573,20.632457,10.343911,10.288546,321.745,482.929181,160.560819,0.788226,1.001937,1064979.946604
2016-04-30,414.66,470.02,412.0,448.37,121556.103245,320.2115,279.957,,370.677964,344.249336,57.240334,26.428629,13.560855,12.867774,320.2115,475.869357,164.553643,0.911667,0.972219,1186536.04985
2016-05-31,448.43,548.5,435.0,531.84,137084.988862,327.249,290.4958,,395.472124,358.14494,61.608403,37.327183,18.31412,19.013063,327.249,506.08925,148.40875,1.071994,1.092992,1323621.038712
2016-06-30,532.37,778.85,525.49,667.95,285637.283324,343.747,303.7548,,437.391797,381.093463,67.447934,56.298334,25.910963,30.387371,343.747,576.314107,111.179893,1.19701,1.35313,1609258.322035
2016-07-31,666.33,704.99,605.5,623.83,118854.500622,356.088,316.128,,466.074597,399.073947,64.047204,67.00065,34.1289,32.871749,356.088,618.664218,93.511782,1.009837,1.474783,1490403.821413
2016-08-31,622.5,630.0,465.28,570.75,147410.381067,368.5755,327.4108,,482.178505,411.790692,60.119838,70.387813,41.380683,29.00713,368.5755,646.590321,90.560679,0.863604,1.508591,1342993.440346
2016-09-30,570.75,628.99,566.86,608.23,91453.301778,388.142,339.3898,,501.571043,426.341752,61.896557,75.229291,48.150405,27.078887,388.142,675.625241,100.658759,0.882784,1.48133,1434446.742124
2016-10-31,608.23,717.99,604.99,697.01,101108.018095,410.319,353.1268,,531.638575,446.391252,65.785024,85.247323,55.569788,29.677535,410.319,720.370472,100.267528,0.962328,1.51127,1535554.760219
2016-11-30,697.04,755.07,670.32,742.06,154318.609166,435.21,367.7236,,564.011102,468.292641,67.592309,95.718461,63.599523,32.118938,435.21,767.094979,103.325021,0.962284,1.525172,1689873.369385
2016-12-31,742.06,980.74,740.18,966.3,172682.268828,471.715,386.8296,,625.901702,505.182075,74.743604,120.719627,75.023544,45.696083,471.715,863.260017,80.169983,1.131581,1.660091,1862555.638213
2017-01-31,966.34,1139.89,751.34,963.99,335463.161068,508.469,405.8608,,677.915286,539.167847,74.561075,138.747439,87.768323,50.979116,508.469,938.096927,78.841073,1.030134,1.689888,1527092.477145
2017-02-28,963.99,1220.0,913.73,1191.21,209670.210028,554.9045,429.4202,,756.883703,587.467266,79.789344,169.416438,104.097946,65.318492,554.9045,1061.937081,47.871919,1.12748,1.827459,1736762.687173
2017-03-31,1191.16,1350.0,891.33,1070.31,321960.895722,594.2035,450.4172,,805.103134,623.233394,71.382805,181.86974,119.652305,62.217435,594.2035,1132.154098,56.252902,0.942519,1.810661,1414801.791451
2017-04-30,1071.34,1356.0,1061.64,1350.21,162542.293645,650.221,476.7508,,888.965729,677.083513,77.336218,211.882216,138.098287,73.783929,650.221,1254.041282,46.400718,1.079634,1.857277,1577344.085096
2017-05-31,1348.88,2760.1,1341.22,2298.01,464388.617314,753.3115,520.788,,1105.74177,797.152142,87.112915,308.589629,172.196555,136.393073,753.3115,1664.819793,-158.196793,1.347331,2.420004,2041732.70241
2017-06-30,2298.01,2980.0,2120.0,2465.49,447661.525548,861.077,567.3002,,1314.933806,920.732724,88.090561,394.201082,216.59746,177.603621,861.077,2014.953811,-292.799811,1.195227,2.680078,2489394.227958
2017-07-31,2465.48,2938.0,1830.0,2855.81,442360.825189,985.032,621.8582,,1551.991682,1064.071781,89.995442,487.9199,270.861948,217.057952,985.032,2405.891598,-435.827598,1.158326,2.8849,2931755.053147
2017-08-31,2855.81,4765.21,2615.0,4734.26,375447.365668,1200.2005,714.7528,,2041.571423,1335.937575,94.529956,705.633848,357.816328,347.817519,1200.2005,3341.13009,-940.72909,1.325356,3.56762,3307202.418815
2017-09-30,4734.26,4979.9,2972.01,4326.09,517529.317475,1398.0805,799.309,,2393.035819,1557.430347,85.465348,835.605472,453.374157,382.231315,1398.0805,3896.648509,-1100.487509,1.085938,3.574283,2789673.10134
2017-10-31,4326.09,6449.78,4137.96,6434.21,373570.109983,1698.0295,925.4332,,3014.754924,1918.673285,90.521029,1096.081639,581.915654,514.165986,1698.0295,4979.807728,-1583.748728,1.221588,3.865396,3163243.211324
